CDTS,EID,START_DATE,CALL_NUMBER,PRIORITY,REPORT_DATE,OFFENSE_DATE,OFFENSE_TIME,CALLTYPE_CODE,CALL_TYPE,FINAL_DISPO_CODE,FINAL_DISPO,ADDRESS,CITY,STATE
20221118021646PS,9329941,11/18/2022 12:00:00 AM,P223220075,2,11/18/2022 12:00:00 AM,11/18/2022 12:00:00 AM,01:53:26,911UNK,UNK TYPE 911 CALL,N,No report required; dispatch record only,[1500]-[1600] TECHNOLOGY DR ,San Jose,CA
20220610121705PD,9117154,6/10/2022 12:00:00 AM,P221610306,3,6/10/2022 12:00:00 AM,6/10/2022 12:00:00 AM,10:06:32,10851,STOLEN VEHICLE,R,Report taken,[800]-[900] N 4TH ST ,San Jose,CA
20220701235241PD,9146376,7/1/2022 12:00:00 AM,P221821057,3,7/1/2022 12:00:00 AM,7/1/2022 12:00:00 AM,23:37:08,1033A,"ALARM, AUDIBLE",CAN,Canceled,[300]-[400] N CAPITOL AV ,San Jose,CA
20220206010758PS,8957526,2/6/2022 12:00:00 AM,P220370033,4,2/6/2022 12:00:00 AM,2/6/2022 12:00:00 AM,00:29:55,415M,"DISTURBANCE, MUSIC",CAN,Canceled,[2700]-[2800] OPHELIA AV ,San Jose,CA
20220412033534PD,9040270,4/12/2022 12:00:00 AM,P221020076,4,4/12/2022 12:00:00 AM,4/12/2022 12:00:00 AM,02:29:04,11300,NARCOTICS,C,Criminal Citation,WINFIELD BL & BLOSSOM HILL RD,San Jose,CA
20220714183557PD,9163624,7/14/2022 12:00:00 AM,P221950754,2,7/14/2022 12:00:00 AM,7/14/2022 12:00:00 AM,18:33:07,1033A,"ALARM, AUDIBLE",CAN,Canceled,[1400]-[1500] OLD PIEDMONT RD ,San Jose,CA
20220524103611PD,9093879,5/24/2022 12:00:00 AM,P221440343,3,5/24/2022 12:00:00 AM,5/24/2022 12:00:00 AM,10:30:51,1033A,"ALARM, AUDIBLE",CAN,Canceled,[5900]-[6000] HOLGATE AV ,San Jose,CA
20220911024009PD,9242177,9/11/2022 12:00:00 AM,P222540111,2,9/11/2022 12:00:00 AM,9/11/2022 12:00:00 AM,01:37:18,5150,MENTALLY DISTURBED PERSON,R,Report taken,[3100]-[3200] BIMBER CT ,San Jose,CA
20221022000520PD,9295823,10/21/2022 12:00:00 AM,P222941092,2,10/21/2022 12:00:00 AM,10/21/2022 12:00:00 AM,23:46:08,1154,SUSPICIOUS VEHICLE,N,No report required; dispatch record only,[4800]-[4900] YAMATO DR ,San Jose,CA
20220220060019PS,8975792,2/20/2022 12:00:00 AM,P220510178,3,2/20/2022 12:00:00 AM,2/20/2022 12:00:00 AM,05:22:09,1033A,"ALARM, AUDIBLE",U,Unfounded event,[300]-[400] LAUREL GROVE LN ,San Jose,CA
20220819053050PD,9210536,8/19/2022 12:00:00 AM,P222310107,3,8/19/2022 12:00:00 AM,8/19/2022 12:00:00 AM,03:38:57,415,DISTURBANCE,CAN,Canceled,[6000]-[6100] MONTEREY RD ,San Jose,CA
20220507120748PD,9071348,5/7/2022 12:00:00 AM,P221270357,3,5/7/2022 12:00:00 AM,5/7/2022 12:00:00 AM,11:09:04,459R,BURGLARY  REPORT  (460),CAN,Canceled,[100]-[200] CURTNER AV ,San Jose,CA
20220913155711PD,9245419,9/13/2022 12:00:00 AM,P222560584,4,9/13/2022 12:00:00 AM,9/13/2022 12:00:00 AM,14:37:47,10851R,RECOVERED STOLEN VEHICLE,O,Supplemental report taken,[600]-[700] KINGS ROW ,San Jose,CA
20220130222655PS,8949344,1/30/2022 12:00:00 AM,P220300651,3,1/30/2022 12:00:00 AM,1/30/2022 12:00:00 AM,18:14:03,WELCK,WELFARE CHECK,N,No report required; dispatch record only,[5700]-[5800] PONTIAC DR ,San Jose,CA
20221006211030PD,9276142,10/6/2022 12:00:00 AM,P222790972,2,10/6/2022 12:00:00 AM,10/6/2022 12:00:00 AM,21:10:30,911UNK,UNK TYPE 911 CALL,ADV,No Disposition,COUNTRYWOOD CT & COMPTON LN,San Jose,CA
20220813125708PD,9202743,8/13/2022 12:00:00 AM,P222250419,2,8/13/2022 12:00:00 AM,8/13/2022 12:00:00 AM,12:44:18,415UNK,"DISTURBANCE, UNKNOWN",DUPNCAN,No Disposition,SAMOA WY & LEEWARD DR,San Jose,CA
20220425200035PD,9056642,4/25/2022 12:00:00 AM,P221150671,2,4/25/2022 12:00:00 AM,4/25/2022 12:00:00 AM,17:56:44,12020G,"ILLEGAL WEAPONS, GANG RELATED",A,Arrest Made,W ALMA AV & PLUM ST,San Jose,CA
20221019011359PD,9291732,10/18/2022 12:00:00 AM,P222910944,2,10/18/2022 12:00:00 AM,10/18/2022 12:00:00 AM,22:19:32,DVRO,VIOLATION OF PROTECTIVE ORDER,R,Report taken,[5300]-[5400] WONG CT ,San Jose,CA
20220501201825PD,9063946,5/1/2022 12:00:00 AM,P221210579,3,5/1/2022 12:00:00 AM,5/1/2022 12:00:00 AM,17:07:40,1154,SUSPICIOUS VEHICLE,CAN,Canceled,[6900]-[7000] RODLING DR ,San Jose,CA
20220415134211PD,9044233,4/15/2022 12:00:00 AM,P221050406,2,4/15/2022 12:00:00 AM,4/15/2022 12:00:00 AM,13:41:13,911UNK,UNK TYPE 911 CALL,CAN,Canceled,[3800]-[3800] BLACKFORD AV ,San Jose,CA
20221205181232PS,9351185,12/5/2022 12:00:00 AM,P223390616,3,12/5/2022 12:00:00 AM,12/5/2022 12:00:00 AM,16:32:29,415,DISTURBANCE,G,Gone on Arrival/unable to locate,[300]-[400] S 1ST ST ,San Jose,CA
20220327131636PD,9020418,3/27/2022 12:00:00 AM,P220860286,2,3/27/2022 12:00:00 AM,3/27/2022 12:00:00 AM,11:42:13,FDAID,FIRE DEPARTMENT REQUEST FOR PD,T,Turned over To (TOT),[5800]-[5900] RUE FERRARI ,San Jose,CA
20220205155111PS,8956753,2/5/2022 12:00:00 AM,P220360405,3,2/5/2022 12:00:00 AM,2/5/2022 12:00:00 AM,12:21:29,1154,SUSPICIOUS VEHICLE,N,No report required; dispatch record only,[1100]-[1200] LINCOLN CT ,San Jose,CA
20221209173226PS,9356182,12/9/2022 12:00:00 AM,P223430562,2,12/9/2022 12:00:00 AM,12/9/2022 12:00:00 AM,16:56:45,415N,"DISTURBANCE, NEIGHBOR",N,No report required; dispatch record only,[500]-[600] E WILLIAM ST ,San Jose,CA
20220922155803PD,9257149,9/22/2022 12:00:00 AM,P222650626,6,9/22/2022 12:00:00 AM,9/22/2022 12:00:00 AM,15:43:33,1195,VEHICLE STOP,N,No report required; dispatch record only,TULLY RD & MONTEREY RD,San Jose,CA
20221126001557PS,9339102,11/25/2022 12:00:00 AM,P223290676,3,11/25/2022 12:00:00 AM,11/25/2022 12:00:00 AM,19:43:03,459VEH,VEHICLE BURGLARY,N,No report required; dispatch record only,[4900]-[5000] SEVERANCE DR ,San Jose,CA
20221015223722PD,9287901,10/15/2022 12:00:00 AM,P222880854,6,10/15/2022 12:00:00 AM,10/15/2022 12:00:00 AM,22:18:53,1195,VEHICLE STOP,N,No report required; dispatch record only,[0]-[100] ADELINE ,San Jose,CA
20220818175056PD,9209947,8/18/2022 12:00:00 AM,P222300720,2,8/18/2022 12:00:00 AM,8/18/2022 12:00:00 AM,17:04:28,1179,"VEHICLE ACCIDENT, AMB DISPATCHED",N,No report required; dispatch record only,[2300]-[2400] OAKLAND RD ,San Jose,CA
20221104145148PD,9313037,11/4/2022 12:00:00 AM,P223080359,6,11/4/2022 12:00:00 AM,11/4/2022 12:00:00 AM,12:04:28,1095X,PEDESTRIAN STOP ON FEMALE,B,Arrest by Warrant,N 10TH ST & E SANTA CLARA ST,San Jose,CA
20220107050638PS,8920712,1/7/2022 12:00:00 AM,P220070030,3,1/7/2022 12:00:00 AM,1/7/2022 12:00:00 AM,00:46:31,911UNK,UNK TYPE 911 CALL,N,No report required; dispatch record only,[1000]-[1100] S MONROE ST ,San Jose,CA
20220515231115PD,9082259,5/15/2022 12:00:00 AM,P221350862,2,5/15/2022 12:00:00 AM,5/15/2022 12:00:00 AM,22:46:24,415,DISTURBANCE,N,No report required; dispatch record only,[5100]-[5200] MONTEREY RD ,San Jose,CA
20221002115820PD,9270330,10/2/2022 12:00:00 AM,P222750368,6,10/2/2022 12:00:00 AM,10/2/2022 12:00:00 AM,11:36:57,1095,PEDESTRIAN STOP,N,No report required; dispatch record only,WOOSTER AV & E JULIAN ST,San Jose,CA
20221002080544PD,9270172,10/2/2022 12:00:00 AM,P222750247,2,10/2/2022 12:00:00 AM,10/2/2022 12:00:00 AM,06:59:39,911UNK,UNK TYPE 911 CALL,N,No report required; dispatch record only,KNIGHTS ESTATES & DEAD END,San Jose,CA
20220406014323PD,9032675,4/6/2022 12:00:00 AM,P220960050,2,4/6/2022 12:00:00 AM,4/6/2022 12:00:00 AM,01:37:40,1066,SUSPICIOUS PERSON,DUPNCAN,No Disposition,ST STEPHENS DR & LA BARBERA DR,San Jose,CA
20221028182127PD,9304413,10/28/2022 12:00:00 AM,P223010692,5,10/28/2022 12:00:00 AM,10/28/2022 12:00:00 AM,17:51:33,22500,PARKING VIOLATION,N,No report required; dispatch record only,[1700]-[1800] VOLLMER WY ,San Jose,CA
20220118132532PS,8933960,1/18/2022 12:00:00 AM,P220180456,2,1/18/2022 12:00:00 AM,1/18/2022 12:00:00 AM,12:41:23,415,DISTURBANCE,N,No report required; dispatch record only,SPEAK LN & LUCHESSI DR,San Jose,CA
20220529010736PD,9100536,5/29/2022 12:00:00 AM,P221490036,4,5/29/2022 12:00:00 AM,5/29/2022 12:00:00 AM,00:34:20,1066,SUSPICIOUS PERSON,CAN,Canceled,[1500]-[1600] CRUCERO DR ,San Jose,CA
20220419122728PD,9048939,4/19/2022 12:00:00 AM,P221090346,2,4/19/2022 12:00:00 AM,4/19/2022 12:00:00 AM,11:54:29,1184,TRAFFIC CONTROL,N,No report required; dispatch record only,[800]-[900] NEWHALL ST ,San Jose,CA
20220204014523PS,8954892,2/4/2022 12:00:00 AM,P220350044,2,2/4/2022 12:00:00 AM,2/4/2022 12:00:00 AM,01:20:30,415,DISTURBANCE,N,No report required; dispatch record only,SILVER CREEK RD & E CAPITOL EX,San Jose,CA
20220415135547PD,9044229,4/15/2022 12:00:00 AM,P221050402,2,4/15/2022 12:00:00 AM,4/15/2022 12:00:00 AM,13:38:21,415,DISTURBANCE,N,No report required; dispatch record only,[500]-[600] COLEMAN AV ,San Jose,CA
20220912020238PD,9243390,9/12/2022 12:00:00 AM,P222550063,2,9/12/2022 12:00:00 AM,9/12/2022 12:00:00 AM,01:21:11,415F,"DISTURBANCE, FAMILY",H,Courtesy Service/Citizen or agency assist,PARK AV & DELMAS AV,San Jose,CA
20220204173835PS,8955727,2/4/2022 12:00:00 AM,P220350710,3,2/4/2022 12:00:00 AM,2/4/2022 12:00:00 AM,17:30:56,1033A,"ALARM, AUDIBLE",CAN,Canceled,[4100]-[4200] SENTER RD ,San Jose,CA
20220616180939PD,9125723,6/16/2022 12:00:00 AM,P221670634,2,6/16/2022 12:00:00 AM,6/16/2022 12:00:00 AM,18:03:18,FDAID,FIRE DEPARTMENT REQUEST FOR PD,CAN,Canceled,[100]-[200] E SAN CARLOS ST ,San Jose,CA
20220715092539PD,9164283,7/15/2022 12:00:00 AM,P221960243,3,7/15/2022 12:00:00 AM,7/15/2022 12:00:00 AM,08:48:21,459VEH,VEHICLE BURGLARY,CAN,Canceled,[1700]-[1800] N 1ST ST ,San Jose,CA
20220828111727PD,9223102,8/28/2022 12:00:00 AM,P222400338,2,8/28/2022 12:00:00 AM,8/28/2022 12:00:00 AM,09:30:16,415,DISTURBANCE,H,Courtesy Service/Citizen or agency assist,[900]-[900] MERIDIAN AV ,San Jose,CA
20220221215627PS,8977630,2/21/2022 12:00:00 AM,P220520752,2,2/21/2022 12:00:00 AM,2/21/2022 12:00:00 AM,21:18:05,415F,"DISTURBANCE, FAMILY",N,No report required; dispatch record only,[700]-[800] FARM DR ,San Jose,CA
20221231095600PS,9382190,12/31/2022 12:00:00 AM,P223650231,3,12/31/2022 12:00:00 AM,12/31/2022 12:00:00 AM,08:16:04,1033A,"ALARM, AUDIBLE",N,No report required; dispatch record only,[1600]-[1700] SENTER RD ,San Jose,CA
20220317025523PD,9007159,3/17/2022 12:00:00 AM,P220760069,2,3/17/2022 12:00:00 AM,3/17/2022 12:00:00 AM,02:09:08,415,DISTURBANCE,CAN,Canceled,[200]-[300] BASSETT ST ,San Jose,CA
20220517170905PD,9084437,5/17/2022 12:00:00 AM,P221370543,3,5/17/2022 12:00:00 AM,5/17/2022 12:00:00 AM,15:05:29,10851,STOLEN VEHICLE,R,Report taken,[1800]-[1800] EVANS LN ,San Jose,CA
20220310132429PS,8998567,3/10/2022 12:00:00 AM,P220690249,2,3/10/2022 12:00:00 AM,3/10/2022 12:00:00 AM,09:44:37,459,BURGLARY (460),R,Report taken,[1600]-[1700] THE ALAMEDA ,San Jose,CA
20220811180456PD,9200469,8/11/2022 12:00:00 AM,P222230664,3,8/11/2022 12:00:00 AM,8/11/2022 12:00:00 AM,17:15:54,1154,SUSPICIOUS VEHICLE,O,Supplemental report taken,LELONG ST & WILLOW ST,San Jose,CA
20221122221044PS,9335949,11/22/2022 12:00:00 AM,P223260859,6,11/22/2022 12:00:00 AM,11/22/2022 12:00:00 AM,21:41:23,1195,VEHICLE STOP,N,No report required; dispatch record only,W SAN CARLOS ST & MERIDIAN AV,San Jose,CA
20220805182912PD,9192477,8/5/2022 12:00:00 AM,P222170724,6,8/5/2022 12:00:00 AM,8/5/2022 12:00:00 AM,18:20:55,1195,VEHICLE STOP,N,No report required; dispatch record only,MONTEREY RD & ROEDER RD,San Jose,CA
20221115103243PS,9326386,11/15/2022 12:00:00 AM,P223190287,3,11/15/2022 12:00:00 AM,11/15/2022 12:00:00 AM,09:58:42,FNDPRP,FOUND PROPERTY,N,No report required; dispatch record only,FULLER AV & GREGORY ST,San Jose,CA
20220508170322PD,9073051,5/8/2022 12:00:00 AM,P221280524,4,5/8/2022 12:00:00 AM,5/8/2022 12:00:00 AM,15:41:57,1125,TRAFFIC HAZARD,N,No report required; dispatch record only,COLT WY & SILVER CREEK RD,San Jose,CA
20220823110736PD,9216264,8/23/2022 12:00:00 AM,P222350338,3,8/23/2022 12:00:00 AM,8/23/2022 12:00:00 AM,09:55:43,1033A,"ALARM, AUDIBLE",U,Unfounded event,[200]-[300] WILLOW ST ,San Jose,CA
20220108083047PS,8922134,1/8/2022 12:00:00 AM,P220080205,6,1/8/2022 12:00:00 AM,1/8/2022 12:00:00 AM,08:22:20,1195,VEHICLE STOP,N,No report required; dispatch record only,ALUM ROCK AV & N 34TH ST,San Jose,CA
20220829150537PD,9224666,8/29/2022 12:00:00 AM,P222410508,3,8/29/2022 12:00:00 AM,8/29/2022 12:00:00 AM,13:03:36,242,BATTERY,N,No report required; dispatch record only,[6300]-[6400] LEYLAND PARK DR ,San Jose,CA
20220416034200PD,9045125,4/16/2022 12:00:00 AM,P221060124,2,4/16/2022 12:00:00 AM,4/16/2022 12:00:00 AM,03:07:37,1033S,"ALARM, SILENT",N,No report required; dispatch record only,[700]-[800] HELLYER AV ,San Jose,CA
20220621104155PD,9131764,6/21/2022 12:00:00 AM,P221720296,4,6/21/2022 12:00:00 AM,6/21/2022 12:00:00 AM,09:33:54,22500,PARKING VIOLATION,E,"Traffic Citation Issued, Non-Hazardous Violation",[1700]-[1800] WOODRIDGE WY ,San Jose,CA
20221013160930PD,9284915,10/13/2022 12:00:00 AM,P222860607,3,10/13/2022 12:00:00 AM,10/13/2022 12:00:00 AM,15:12:35,20002,MISDEMEANOR HIT AND RUN,N,No report required; dispatch record only,[3500]-[3600] CEDAR FLAT CT ,San Jose,CA
20220806163731PD,9193633,8/6/2022 12:00:00 AM,P222180616,2,8/6/2022 12:00:00 AM,8/6/2022 12:00:00 AM,16:33:50,1033A,"ALARM, AUDIBLE",CAN,Canceled,[7400]-[7500] PEGASUS WY ,San Jose,CA
20220908224338PD,9239066,9/8/2022 12:00:00 AM,P222511037,3,9/8/2022 12:00:00 AM,9/8/2022 12:00:00 AM,22:41:36,WELCK,WELFARE CHECK,DUPNCAN,No Disposition,[3000]-[3100] ALUM ROCK AV ,San Jose,CA
20221203010200PS,9348063,12/3/2022 12:00:00 AM,P223370044,4,12/3/2022 12:00:00 AM,12/3/2022 12:00:00 AM,00:56:32,415,DISTURBANCE,CAN,Canceled,[1600]-[1600] PETERSEN AV ,San Jose,CA
20220113141632PS,8928334,1/13/2022 12:00:00 AM,P220130446,2,1/13/2022 12:00:00 AM,1/13/2022 12:00:00 AM,14:07:23,WELCK,WELFARE CHECK,CAN,Canceled,[2800]-[2900] STEVENS CREEK BL ,San Jose,CA
20220724024740PD,9175983,7/27/2022 12:00:00 AM,P222050101,4,7/24/2022 12:00:00 AM,7/24/2022 12:00:00 AM,01:16:53,415M,"DISTURBANCE, MUSIC",NR,No Response,[3900]-[4000] HAMILTON AV ,San Jose,CA
20221113171112PS,9324070,11/13/2022 12:00:00 AM,P223170377,4,11/13/2022 12:00:00 AM,11/13/2022 12:00:00 AM,12:32:17,22500,PARKING VIOLATION,CAN,Canceled,[300]-[400] N 11TH ST ,San Jose,CA
20220918022808PD,9251364,9/18/2022 12:00:00 AM,P222610080,1,9/18/2022 12:00:00 AM,9/18/2022 12:00:00 AM,01:06:45,415W,"DISTURBANCE, WEAPON",N,No report required; dispatch record only,N ALMADEN AV & W SANTA CLARA ST,San Jose,CA
20220913225810PD,9245948,9/13/2022 12:00:00 AM,P222561021,1,9/13/2022 12:00:00 AM,9/13/2022 12:00:00 AM,22:00:26,1033S,"ALARM, SILENT",N,No report required; dispatch record only,[2800]-[2900] STORY RD ,San Jose,CA
20221218234508PS,9367728,12/18/2022 12:00:00 AM,P223520771,3,12/18/2022 12:00:00 AM,12/18/2022 12:00:00 AM,22:53:17,23103,RECKLESS DRIVING,R,Report taken,AUZERAIS AV & MINOR AV,San Jose,CA
20221127115001PS,9341009,11/27/2022 12:00:00 AM,P223310365,2,11/27/2022 12:00:00 AM,11/27/2022 12:00:00 AM,11:41:54,FDAID,FIRE DEPARTMENT REQUEST FOR PD,N,No report required; dispatch record only,CHARLES ST & N 15TH ST,San Jose,CA
20221225171241PS,9375769,12/25/2022 12:00:00 AM,P223590509,2,12/25/2022 12:00:00 AM,12/25/2022 12:00:00 AM,17:05:26,23152,MISDEMEANOR DUI,CAN,Canceled,VISTAPARK DR & W CAPITOL EX,San Jose,CA
20221201022748PS,9345336,11/30/2022 12:00:00 AM,P223340803,5,11/30/2022 12:00:00 AM,11/30/2022 12:00:00 AM,20:18:11,484,THEFT,R,Report taken,[1700]-[1800] BEVIN BROOK DR ,San Jose,CA
20221224202050PS,9374889,12/24/2022 12:00:00 AM,P223580681,2,12/24/2022 12:00:00 AM,12/24/2022 12:00:00 AM,20:12:22,911UNK,UNK TYPE 911 CALL,N,No report required; dispatch record only,[1600]-[1700] E SAN FERNANDO ST ,San Jose,CA
20220302145629PS,8988589,3/7/2022 12:00:00 AM,P220610582,3,3/2/2022 12:00:00 AM,3/2/2022 12:00:00 AM,14:47:46,1033A,"ALARM, AUDIBLE",CAN,Canceled,[700]-[800] RIDDER PARK DR ,San Jose,CA
20221002082113PD,9270179,10/2/2022 12:00:00 AM,P222750254,2,10/2/2022 12:00:00 AM,10/2/2022 12:00:00 AM,07:26:17,1066P,SUSPICIOUS PACKAGE,N,No report required; dispatch record only,[1700]-[1800] AIRPORT BL ,San Jose,CA
20220213083148PS,8966831,2/13/2022 12:00:00 AM,P220440230,5,2/13/2022 12:00:00 AM,2/13/2022 12:00:00 AM,08:26:16,1125,TRAFFIC HAZARD,N,No report required; dispatch record only,ALUM ROCK AV & N KING RD,San Jose,CA
20220912234349PD,9244643,9/12/2022 12:00:00 AM,P222551033,2,9/12/2022 12:00:00 AM,9/12/2022 12:00:00 AM,23:04:38,415F,"DISTURBANCE, FAMILY",N,No report required; dispatch record only,LITTLE ORCHARD ST & CURTNER AV,San Jose,CA
20220305233851PS,8992966,3/7/2022 12:00:00 AM,P220640972,2,3/5/2022 12:00:00 AM,3/5/2022 12:00:00 AM,23:38:51,415F,"DISTURBANCE, FAMILY",ADV,No Disposition,MABURY RD & KIRK GLEN DR,San Jose,CA
20220303193730PS,8990117,3/7/2022 12:00:00 AM,P220620756,5,3/3/2022 12:00:00 AM,3/3/2022 12:00:00 AM,17:24:49,1182,"VEHICLE ACCIDENT, PROPERTY DAMAGE",O,Supplemental report taken,FLOWERING MEADOW LN & FLOWERING MEADOW CT,San Jose,CA
20220529093442PD,9100827,5/29/2022 12:00:00 AM,P221490285,2,5/29/2022 12:00:00 AM,5/29/2022 12:00:00 AM,08:33:38,SUSCIR,SUSPICIOUS CIRCUMSTANCES,F,Field Interview (F.I.) Completed,[2000]-[2100] STORY RD ,San Jose,CA
20220713205828PD,9162459,7/13/2022 12:00:00 AM,P221940878,4,7/13/2022 12:00:00 AM,7/13/2022 12:00:00 AM,20:39:01,1125,TRAFFIC HAZARD,CAN,Canceled,PROSPECT RD & JOHNSON AV,San Jose,CA
20220522033426PD,9090964,5/22/2022 12:00:00 AM,P221420195,6,5/22/2022 12:00:00 AM,5/22/2022 12:00:00 AM,03:27:21,1195,VEHICLE STOP,N,No report required; dispatch record only,SENTER RD & TULLY RD,San Jose,CA
20221002134246PD,9270406,10/2/2022 12:00:00 AM,P222750421,2,10/2/2022 12:00:00 AM,10/2/2022 12:00:00 AM,13:02:34,415,DISTURBANCE,N,No report required; dispatch record only,[3100]-[3200] BERRYESSA RD ,San Jose,CA
20220808223337PD,9196693,8/8/2022 12:00:00 AM,P222200889,2,8/8/2022 12:00:00 AM,8/8/2022 12:00:00 AM,20:43:36,484,THEFT,R,Report taken,[1500]-[1600] HAMILTON AV ,San Jose,CA
20220123220932PS,8940614,1/26/2022 12:00:00 AM,P220230786,2,1/23/2022 12:00:00 AM,1/23/2022 12:00:00 AM,21:20:11,415F,"DISTURBANCE, FAMILY",N,No report required; dispatch record only,[3100]-[3200] FLINTHAVEN DR ,San Jose,CA
20220930202042PD,9268161,9/30/2022 12:00:00 AM,P222730985,6,9/30/2022 12:00:00 AM,9/30/2022 12:00:00 AM,20:12:26,1195,VEHICLE STOP,N,No report required; dispatch record only,E CAPITOL EX & SEVEN TREES BL,San Jose,CA
20220804075921PD,9190488,8/4/2022 12:00:00 AM,P222160181,3,8/4/2022 12:00:00 AM,8/4/2022 12:00:00 AM,07:12:13,1033,ALARM,CAN,Canceled,[100]-[200] W TASMAN DR ,San Jose,CA
