CDTS,EID,START_DATE,CALL_NUMBER,PRIORITY,REPORT_DATE,OFFENSE_DATE,OFFENSE_TIME,CALLTYPE_CODE,CALL_TYPE,FINAL_DISPO_CODE,FINAL_DISPO,ADDRESS,CITY,STATE
20231106031752PS,9775378,11/6/2023 12:00:00 AM,P233100078,2,11/6/2023 12:00:00 AM,11/6/2023 12:00:00 AM,03:02:09,1066,SUSPICIOUS PERSON,N,No report required; dispatch record only,[2100]-[2200] O'TOOLE AV ,San Jose,CA
20230111033329PS,9395709,1/11/2023 12:00:00 AM,P230110073,5,1/11/2023 12:00:00 AM,1/11/2023 12:00:00 AM,03:13:42,415A,"DISTURBANCE, FIGHT",N,No report required; dispatch record only,N 9TH ST & E SANTA CLARA ST,San Jose,CA
20230901172418PD,9692009,9/1/2023 12:00:00 AM,P232440683,2,9/1/2023 12:00:00 AM,9/1/2023 12:00:00 AM,17:18:09,WELCK,WELFARE CHECK,CAN,Canceled,BLOSSOM VISTA AV & BLOSSOM VALLEY DR,San Jose,CA
20230305144712PS,9461599,3/5/2023 12:00:00 AM,P230640434,5,3/5/2023 12:00:00 AM,3/5/2023 12:00:00 AM,13:45:13,10851R,RECOVERED STOLEN VEHICLE,O,Supplemental report taken,[200]-[300] LEO AV ,San Jose,CA
20230822153326PD,9678745,8/22/2023 12:00:00 AM,P232340558,3,8/22/2023 12:00:00 AM,8/22/2023 12:00:00 AM,15:30:35,10851R,RECOVERED STOLEN VEHICLE,DUPNCAN,No Disposition,[300]-[400] S 17TH ST ,San Jose,CA
20230611001007PD,9584946,6/10/2023 12:00:00 AM,P231610971,3,6/10/2023 12:00:00 AM,6/10/2023 12:00:00 AM,23:19:16,10851R,RECOVERED STOLEN VEHICLE,O,Supplemental report taken,[0]-[100] MCCREERY AV ,San Jose,CA
20230212005159PS,9435132,2/12/2023 12:00:00 AM,P230430029,4,2/12/2023 12:00:00 AM,2/12/2023 12:00:00 AM,00:31:01,22500,PARKING VIOLATION,N,No report required; dispatch record only,[1500]-[1600] STURGEON WY ,San Jose,CA
20230525202022PD,9564149,5/29/2023 12:00:00 AM,P231450793,2,5/25/2023 12:00:00 AM,5/25/2023 12:00:00 AM,19:31:24,415F,"DISTURBANCE, FAMILY",N,No report required; dispatch record only,[900]-[1000] FAIR AV ,San Jose,CA
20230419223602PD,9518223,4/19/2023 12:00:00 AM,P231090887,2,4/19/2023 12:00:00 AM,4/19/2023 12:00:00 AM,22:23:00,WELCKEMS,WELFARE CHECK (COMBINED EVENT),N,No report required; dispatch record only,[1400]-[1500] PALMVIEW WY ,San Jose,CA
20230320164207PD,9480311,3/20/2023 12:00:00 AM,P230790547,5,3/20/2023 12:00:00 AM,3/20/2023 12:00:00 AM,14:40:39,1182,"VEHICLE ACCIDENT, PROPERTY DAMAGE",O,Supplemental report taken,MCKEE RD & N 33RD ST,San Jose,CA
20231026045146PD,9761401,10/26/2023 12:00:00 AM,P232990084,3,10/26/2023 12:00:00 AM,10/26/2023 12:00:00 AM,04:48:57,602PC,TRESPASSING,CAN,Canceled,[900]-[1000] BLOSSOM HILL RD ,San Jose,CA
20230309170652PS,9466378,3/9/2023 12:00:00 AM,P230680518,2,3/9/2023 12:00:00 AM,3/9/2023 12:00:00 AM,15:31:25,415,DISTURBANCE,N,No report required; dispatch record only,[3200]-[3300] LOMA VERDE DR ,San Jose,CA
20230408091052PD,9503816,4/8/2023 12:00:00 AM,P230980269,4,4/8/2023 12:00:00 AM,4/8/2023 12:00:00 AM,08:55:55,22500,PARKING VIOLATION,N,No report required; dispatch record only,[4800]-[4900] NICOLE CT ,San Jose,CA
20230718190918PD,9633469,7/18/2023 12:00:00 AM,P231990749,2,7/18/2023 12:00:00 AM,7/18/2023 12:00:00 AM,18:32:15,WELCK,WELFARE CHECK,CAN,Canceled,[200]-[300] W MISSION ST ,San Jose,CA
20230210041826PS,9432711,2/10/2023 12:00:00 AM,P230410108,2,2/10/2023 12:00:00 AM,2/10/2023 12:00:00 AM,03:58:25,FDAID,FIRE DEPARTMENT REQUEST FOR PD,GD,No Disposition,[100]-[200] N 17TH ST ,San Jose,CA
20231106103502PS,9775508,11/6/2023 12:00:00 AM,P233100171,3,11/6/2023 12:00:00 AM,11/6/2023 12:00:00 AM,08:02:57,10851,STOLEN VEHICLE,R,Report taken,[1100]-[1200] KOCH LN ,San Jose,CA
20230726202335PD,9644166,7/26/2023 12:00:00 AM,P232070842,3,7/26/2023 12:00:00 AM,7/26/2023 12:00:00 AM,19:44:03,23103,RECKLESS DRIVING,N,No report required; dispatch record only,[1200]-[1300] MARTIN AV ,San Jose,CA
20230521125322PD,9558427,5/21/2023 12:00:00 AM,P231410417,3,5/21/2023 12:00:00 AM,5/21/2023 12:00:00 AM,12:51:16,23103,RECKLESS DRIVING,N,No report required; dispatch record only,,San Jose,CA
20230723174311PD,9639951,7/23/2023 12:00:00 AM,P232040694,4,7/23/2023 12:00:00 AM,7/23/2023 12:00:00 AM,17:39:36,22500,PARKING VIOLATION,CAN,Canceled,[2500]-[2600] SIERRA SERENA CT ,San Jose,CA
20231118190309PS,9790968,11/18/2023 12:00:00 AM,P233220717,4,11/18/2023 12:00:00 AM,11/18/2023 12:00:00 AM,18:22:40,415M,"DISTURBANCE, MUSIC",CAN,Canceled,[200]-[300] S 24TH ST ,San Jose,CA
20230118144102PS,9404702,1/18/2023 12:00:00 AM,P230180465,3,1/18/2023 12:00:00 AM,1/18/2023 12:00:00 AM,13:30:14,602PC,TRESPASSING,N,No report required; dispatch record only,[2200]-[2300] SENTER RD ,San Jose,CA
20230507235455PD,9540671,5/7/2023 12:00:00 AM,P231270928,3,5/7/2023 12:00:00 AM,5/7/2023 12:00:00 AM,22:09:36,1125,TRAFFIC HAZARD,N,No report required; dispatch record only,SANTA TERESA BL & LEAN AV,San Jose,CA
20231128172256PS,9802886,11/28/2023 12:00:00 AM,P233320518,3,11/28/2023 12:00:00 AM,11/28/2023 12:00:00 AM,14:33:55,1182,"VEHICLE ACCIDENT, PROPERTY DAMAGE",N,No report required; dispatch record only,[1100]-[1200] MCLAUGHLIN AV ,San Jose,CA
20230922221147PD,9719308,9/24/2023 12:00:00 AM,P232650923,3,9/22/2023 12:00:00 AM,9/22/2023 12:00:00 AM,21:19:39,1033A,"ALARM, AUDIBLE",CAN,Canceled,[100]-[200] DAGGETT DR ,San Jose,CA
20230930221008PD,9729332,9/30/2023 12:00:00 AM,P232730864,6,9/30/2023 12:00:00 AM,9/30/2023 12:00:00 AM,22:08:59,1195,VEHICLE STOP,N,No report required; dispatch record only,,San Jose,CA
20230508232212PD,9541889,5/8/2023 12:00:00 AM,P231280848,3,5/8/2023 12:00:00 AM,5/8/2023 12:00:00 AM,22:50:54,1066,SUSPICIOUS PERSON,N,No report required; dispatch record only,[1400]-[1500] N 4TH ST ,San Jose,CA
20230326092846PD,9487390,3/26/2023 12:00:00 AM,P230850251,2,3/26/2023 12:00:00 AM,3/26/2023 12:00:00 AM,07:46:56,DVRO,VIOLATION OF PROTECTIVE ORDER,N,No report required; dispatch record only,[1200]-[1200] RANCHERO WY ,San Jose,CA
20230603031806PD,9574844,6/3/2023 12:00:00 AM,P231540138,6,6/3/2023 12:00:00 AM,6/3/2023 12:00:00 AM,03:09:50,1195,VEHICLE STOP,N,No report required; dispatch record only,,San Jose,CA
20230910164334PD,9703445,9/10/2023 12:00:00 AM,P232530577,3,9/10/2023 12:00:00 AM,9/10/2023 12:00:00 AM,15:27:43,1033A,"ALARM, AUDIBLE",N,No report required; dispatch record only,[1000]-[1100] BIRD AV ,San Jose,CA
20231207224310PS,9814752,12/7/2023 12:00:00 AM,P233410968,2,12/7/2023 12:00:00 AM,12/7/2023 12:00:00 AM,21:43:25,415,DISTURBANCE,N,No report required; dispatch record only,E JULIAN ST & N 10TH ST,San Jose,CA
20230916073436PD,9710831,9/16/2023 12:00:00 AM,P232590173,1,9/16/2023 12:00:00 AM,9/16/2023 12:00:00 AM,05:35:17,459,BURGLARY (460),R,Report taken,[2900]-[3000] S KING RD ,San Jose,CA
20230704124730PD,9615159,7/4/2023 12:00:00 AM,P231850364,4,7/4/2023 12:00:00 AM,7/4/2023 12:00:00 AM,12:16:11,415,DISTURBANCE,CAN,Canceled,[0]-[100] NORTON AV ,San Jose,CA
20230901090926PD,9691381,9/1/2023 12:00:00 AM,P232440178,3,9/1/2023 12:00:00 AM,9/1/2023 12:00:00 AM,06:40:37,WELCK,WELFARE CHECK,N,No report required; dispatch record only,[400]-[500] N 16TH ST ,San Jose,CA
20230219174613PS,9444543,2/19/2023 12:00:00 AM,P230500602,2,2/19/2023 12:00:00 AM,2/19/2023 12:00:00 AM,17:07:31,415,DISTURBANCE,GD,No Disposition,[2600]-[2700] S BASCOM AV ,San Jose,CA
20230820181800PD,9676284,8/20/2023 12:00:00 AM,P232320766,5,8/20/2023 12:00:00 AM,8/20/2023 12:00:00 AM,18:16:14,22500,PARKING VIOLATION,E,"Traffic Citation Issued, Non-Hazardous Violation",[1200]-[1300] SUNNY CT ,San Jose,CA
20230828111916PD,9686171,8/28/2023 12:00:00 AM,P232400264,3,8/28/2023 12:00:00 AM,8/28/2023 12:00:00 AM,08:55:39,415N,"DISTURBANCE, NEIGHBOR",CAN,Canceled,[5500]-[5600] LEAN AV ,San Jose,CA
20230728050358PD,9645921,7/28/2023 12:00:00 AM,P232090103,3,7/28/2023 12:00:00 AM,7/28/2023 12:00:00 AM,02:49:02,1154,SUSPICIOUS VEHICLE,CAN,Canceled,[1200]-[1300] QUINCY DR ,San Jose,CA
20230805050304PD,9656275,8/5/2023 12:00:00 AM,P232170073,3,8/5/2023 12:00:00 AM,8/5/2023 12:00:00 AM,01:36:19,602PC,TRESPASSING,N,No report required; dispatch record only,[1300]-[1400] PHELPS AV ,San Jose,CA
20230630232109PD,9610549,6/30/2023 12:00:00 AM,P231811020,5,6/30/2023 12:00:00 AM,6/30/2023 12:00:00 AM,23:17:27,1154,SUSPICIOUS VEHICLE,N,No report required; dispatch record only,FORESTDALE AV & JEANNE AV,San Jose,CA
20230409082256PD,9505018,4/9/2023 12:00:00 AM,P230990227,3,4/9/2023 12:00:00 AM,4/9/2023 12:00:00 AM,07:45:41,415,DISTURBANCE,CAN,Canceled,,San Jose,CA
20231102184444PD,9771247,11/2/2023 12:00:00 AM,P233060783,6,11/2/2023 12:00:00 AM,11/2/2023 12:00:00 AM,18:41:47,1195,VEHICLE STOP,N,No report required; dispatch record only,NEW COMPTON DR & MASSACHUSETTS DR,San Jose,CA
20230909225833PD,9702611,9/9/2023 12:00:00 AM,P232520996,6,9/9/2023 12:00:00 AM,9/9/2023 12:00:00 AM,22:44:19,1195,VEHICLE STOP,N,No report required; dispatch record only,ALUM ROCK AV & N JACKSON AV,San Jose,CA
20230717142350PD,9631807,7/17/2023 12:00:00 AM,P231980434,2,7/17/2023 12:00:00 AM,7/17/2023 12:00:00 AM,12:39:02,WELCKEMS,WELFARE CHECK (COMBINED EVENT),CAN,Canceled,[500]-[600] COLUMBIA AV ,San Jose,CA
20230414090220PD,9511236,4/14/2023 12:00:00 AM,P231040175,3,4/14/2023 12:00:00 AM,4/14/2023 12:00:00 AM,06:49:56,10851,STOLEN VEHICLE,R,Report taken,[1300]-[1400] FAIRWAY ENTRANCE DR ,San Jose,CA
20231224161457PS,9836248,12/24/2023 12:00:00 AM,P233580467,3,12/24/2023 12:00:00 AM,12/24/2023 12:00:00 AM,15:39:22,484,THEFT,N,No report required; dispatch record only,[400]-[500] NORTHLAKE DR ,San Jose,CA
20230513132412PD,9547695,5/13/2023 12:00:00 AM,P231330425,2,5/13/2023 12:00:00 AM,5/13/2023 12:00:00 AM,13:13:01,WELCKEMS,WELFARE CHECK (COMBINED EVENT),GD,No Disposition,[2800]-[2900] GAVILAN DR ,San Jose,CA
20230919012406PD,9714427,9/24/2023 12:00:00 AM,P232620047,3,9/19/2023 12:00:00 AM,9/19/2023 12:00:00 AM,01:04:42,602PC,TRESPASSING,N,No report required; dispatch record only,[1700]-[1800] S 10TH ST ,San Jose,CA
20230416052149PD,9513755,4/16/2023 12:00:00 AM,P231060194,4,4/16/2023 12:00:00 AM,4/16/2023 12:00:00 AM,05:13:22,415,DISTURBANCE,N,No report required; dispatch record only,[3100]-[3200] RUBINO DR ,San Jose,CA
20230713190325PD,9626995,7/13/2023 12:00:00 AM,P231940617,3,7/13/2023 12:00:00 AM,7/13/2023 12:00:00 AM,17:02:38,602PC,TRESPASSING,N,No report required; dispatch record only,[700]-[800] STORY RD ,San Jose,CA
20230415152613PD,9512909,4/15/2023 12:00:00 AM,P231050517,2,4/15/2023 12:00:00 AM,4/15/2023 12:00:00 AM,15:23:40,415F,"DISTURBANCE, FAMILY",CAN,Canceled,[200]-[300] JOSE FIGUERES AV ,San Jose,CA
20230120151414PS,9407239,1/20/2023 12:00:00 AM,P230200544,2,1/20/2023 12:00:00 AM,1/20/2023 12:00:00 AM,15:09:10,1033S,"ALARM, SILENT",CAN,Canceled,[200]-[300] COLIBRI CT ,San Jose,CA
20231103005715PD,9771587,11/3/2023 12:00:00 AM,P233070043,6,11/3/2023 12:00:00 AM,11/3/2023 12:00:00 AM,00:49:00,1195,VEHICLE STOP,N,No report required; dispatch record only,E TASMAN DR & CISCO WY,San Jose,CA
20230921193904PD,9717719,9/24/2023 12:00:00 AM,P232640665,3,9/21/2023 12:00:00 AM,9/21/2023 12:00:00 AM,17:11:35,602PC,TRESPASSING,CAN,Canceled,[2000]-[2100] ALUM ROCK AV ,San Jose,CA
20230708190343PD,9620833,7/8/2023 12:00:00 AM,P231890719,2,7/8/2023 12:00:00 AM,7/8/2023 12:00:00 AM,18:29:05,FDAID,FIRE DEPARTMENT REQUEST FOR PD,N,No report required; dispatch record only,[5800]-[5900] CHARLOTTE DR ,San Jose,CA
20230217102530PS,9441396,2/17/2023 12:00:00 AM,P230480127,3,2/17/2023 12:00:00 AM,2/17/2023 12:00:00 AM,07:18:28,459VEH,VEHICLE BURGLARY,R,Report taken,[900]-[1000] CURTNER AV ,San Jose,CA
20230729235624PD,9648387,7/29/2023 12:00:00 AM,P232101008,6,7/29/2023 12:00:00 AM,7/29/2023 12:00:00 AM,23:46:38,1195,VEHICLE STOP,N,No report required; dispatch record only,STORY RD & KARL ST,San Jose,CA
20230914225504PD,9709142,9/14/2023 12:00:00 AM,P232570906,1,9/14/2023 12:00:00 AM,9/14/2023 12:00:00 AM,21:05:48,1066W,SUSPICIOUS PERSON W/ WEAPON,N,No report required; dispatch record only,[2000]-[2100] STORY RD ,San Jose,CA
